VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,749,12828,13577,s,2700,17742,20442,
v,748,12818,13566,s,2698,17746,20444,
v,749,12818,13567,s,2698,17751,20449,
v,749,12820,13569,s,2697,17749,20446,
v,748,12818,13566,s,2696,17748,20444,
v,749,12812,13561,s,2698,17737,20435,
v,747,12803,13550,s,2700,17749,20449,
v,748,12818,13566,s,2687,17715,20402,
v,749,12808,13557,s,2700,17702,20402,
v,745,12804,13549,s,2688,17718,20406,
v,750,12816,13566,s,2693,17717,20410,
v,749,12810,13559,s,2694,17745,20439,
v,746,12810,13556,s,2694,17748,20442,
v,749,12826,13575,s,2693,17737,20430,
v,750,12805,13555,s,2698,17744,20442,
v,748,12806,13554,s,2693,17733,20426,
v,746,12808,13554,s,2700,17703,20403,
v,749,12813,13562,s,2697,17748,20445,
v,750,12809,13559,s,2691,17739,20430,
v,748,12814,13562,s,2699,17747,20446,
v,749,12815,13564,s,2699,17730,20429,
v,747,12812,13559,s,2698,17741,20439,
v,749,12808,13557,s,2700,17710,20410,
v,747,12810,13557,s,2700,17724,20424,
v,750,12805,13555,s,2700,17706,20406,
v,748,12810,13558,s,2700,17746,20446,
v,748,12810,13558,s,2700,17735,20435,
v,749,12809,13558,s,2700,17704,20404,
v,749,12812,13561,s,2697,17747,20444,
v,750,12823,13573,s,2700,17743,20443,
v,750,12804,13554,s,2699,17732,20431,
v,749,12807,13556,s,2700,17701,20401,
v,750,12809,13559,s,2700,17747,20447,
v,749,12823,13572,s,2700,17701,20401,
v,748,12809,13557,s,2698,17741,20439,
v,750,12801,13551,s,2700,17728,20428,
v,749,12807,13556,s,2700,17734,20434,
v,750,12801,13551,s,2700,17744,20444,
v,746,12823,13569,s,2700,17746,20446,
v,750,12811,13561,s,2700,17701,20401,
v,748,12808,13556,s,2700,17741,20441,
v,750,12816,13566,s,2700,17745,20445,
v,748,12804,13552,s,2700,17736,20436,
v,748,12810,13558,s,2700,17704,20404,
v,750,12809,13559,s,2700,17742,20442,
v,748,12808,13556,s,2700,17750,20450,
v,750,12813,13563,s,2700,17709,20409,
v,749,12811,13560,s,2700,17743,20443,
v,748,12807,13555,s,2700,17749,20449,
v,749,12815,13564,s,2698,17750,20448,
