VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,469,9884,10353,s,1303,10224,11527,
v,454,9559,10013,s,1314,10302,11616,
v,461,9620,10081,s,1299,10200,11499,
v,465,9598,10063,s,1304,10235,11539,
v,460,9649,10109,s,1305,10321,11626,
v,460,9592,10052,s,1302,10233,11535,
v,452,9631,10083,s,1295,10174,11469,
v,463,9599,10062,s,1341,10691,12032,
v,479,9888,10367,s,1294,10242,11536,
v,478,10213,10691,s,1383,11040,12423,
v,489,10321,10810,s,1452,12057,13509,
v,553,12656,13209,s,1393,10902,12295,
v,509,10858,11367,s,1528,11953,13481,
v,482,9992,10474,s,1383,10749,12132,
v,463,9726,10189,s,1322,10338,11660,
v,460,9643,10103,s,1351,10987,12338,
v,505,10534,11039,s,1391,10868,12259,
v,465,9824,10289,s,1305,10240,11545,
v,467,9734,10201,s,1317,10333,11650,
v,479,10297,10776,s,1339,10445,11784,
