VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,478,10829,11307,s,1315,10338,11653,
v,463,10138,10601,s,1404,11009,12413,
v,518,11523,12041,s,1421,10970,12391,
v,491,10685,11176,s,1403,10982,12385,
v,476,10522,10998,s,1320,10261,11581,
v,461,10084,10545,s,1312,10249,11561,
v,458,10061,10519,s,1318,10350,11668,
v,461,10085,10546,s,1350,10652,12002,
v,473,10457,10930,s,1408,10870,12278,
v,460,10120,10580,s,1324,10292,11616,
v,462,10223,10685,s,1315,10281,11596,
v,457,10082,10539,s,1327,10267,11594,
v,463,10147,10610,s,1370,10592,11962,
v,467,10255,10722,s,1323,10267,11590,
v,459,10086,10545,s,1324,10299,11623,
v,459,10093,10552,s,1330,10276,11606,
v,459,10090,10549,s,1314,10309,11623,
v,459,10110,10569,s,1320,10294,11614,
v,468,10213,10681,s,1318,10303,11621,
v,467,10138,10605,s,1327,10250,11577,
