VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,466,1591,2057,s,781,3625,4406,
v,398,1398,1796,s,758,3592,4350,
v,440,1508,1948,s,717,3334,4051,
v,422,1472,1894,s,757,3599,4356,
v,418,1610,2028,s,801,3727,4528,
v,391,1365,1756,s,826,3803,4629,
v,450,1567,2017,s,881,4036,4917,
v,453,1570,2023,s,819,3702,4521,
v,377,1306,1683,s,728,3405,4133,
v,554,1684,2238,s,819,3859,4678,
v,410,1447,1857,s,755,3601,4356,
v,437,1530,1967,s,846,3869,4715,
v,453,1583,2036,s,801,3717,4518,
v,397,1412,1809,s,768,3635,4403,
v,413,1428,1841,s,785,3681,4466,
v,433,1544,1977,s,796,3761,4557,
v,425,1514,1939,s,794,3633,4427,
v,399,1423,1822,s,836,3882,4718,
v,423,1486,1909,s,826,3819,4645,
v,391,1369,1760,s,762,3685,4447,
