VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,483,2478,2961,s,791,3660,4451,
v,391,2001,2392,s,757,3589,4346,
v,389,1928,2317,s,787,3736,4523,
v,375,1905,2280,s,787,3626,4413,
v,444,2250,2694,s,773,3574,4347,
v,415,2117,2532,s,749,3521,4270,
v,399,2015,2414,s,802,3705,4507,
v,447,2225,2672,s,786,3679,4465,
v,377,1916,2293,s,820,3813,4633,
v,405,2028,2433,s,814,3795,4609,
v,421,2150,2571,s,775,3577,4352,
v,417,2099,2516,s,742,3491,4233,
v,392,1994,2386,s,777,3581,4358,
v,371,1872,2243,s,798,3756,4554,
v,378,1903,2281,s,808,3802,4610,
v,390,1971,2361,s,822,3880,4702,
v,417,2136,2553,s,821,3896,4717,
v,434,2213,2647,s,817,3855,4672,
v,445,2199,2644,s,798,3629,4427,
v,365,1829,2194,s,787,3621,4408,
