VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,541,6577,7118,s,976,10184,11160,
v,469,5598,6067,s,950,9641,10591,
v,484,5802,6286,s,998,10344,11342,
v,474,5753,6227,s,976,10227,11203,
v,482,5721,6203,s,982,10022,11004,
v,507,6048,6555,s,1037,10826,11863,
v,571,6674,7245,s,1094,10893,11987,
v,465,5513,5978,s,985,10212,11197,
v,537,6179,6716,s,1080,11020,12100,
v,539,6476,7015,s,1008,10820,11828,
v,553,6588,7141,s,1068,10910,11978,
v,500,5797,6297,s,935,9797,10732,
v,487,5697,6184,s,963,10037,11000,
v,451,5360,5811,s,1025,10388,11413,
v,515,6087,6602,s,951,10059,11010,
v,464,5656,6120,s,938,10170,11108,
v,513,6204,6717,s,1069,10934,12003,
v,529,6269,6798,s,1042,10787,11829,
v,471,5519,5990,s,967,9866,10833,
v,526,6252,6778,s,938,9499,10437,
