VEC,ENC,RUN,ENC + RUN,SCAL,ENC,RUN,ENC + RUN,
v,579,6788,7367,s,940,9853,10793,
v,450,5369,5819,s,983,10136,11119,
v,534,6226,6760,s,1030,10543,11573,
v,516,6093,6609,s,1000,10443,11443,
v,497,5989,6486,s,1022,10454,11476,
v,484,5774,6258,s,980,10263,11243,
v,507,6055,6562,s,988,10429,11417,
v,534,6059,6593,s,1001,10417,11418,
v,533,6250,6783,s,998,10520,11518,
v,534,6188,6722,s,1046,10682,11728,
v,522,6299,6821,s,1031,10888,11919,
v,527,6004,6531,s,984,10109,11093,
v,511,6061,6572,s,977,10518,11495,
v,507,6115,6622,s,974,10014,10988,
v,505,6088,6593,s,1005,10397,11402,
v,466,5680,6146,s,991,10514,11505,
v,539,6488,7027,s,997,10269,11266,
v,547,6363,6910,s,1011,10407,11418,
v,515,6140,6655,s,963,10383,11346,
v,516,6055,6571,s,1149,10502,11651,
